,date,arrivals,departures
592,2020-08-15,126,127
593,2020-08-16,127,127
594,2020-08-17,129,129
595,2020-08-18,130,131
596,2020-08-19,130,130
597,2020-08-20,133,132
598,2020-08-21,131,130
599,2020-08-22,131,130
600,2020-08-23,130,130
601,2020-08-24,129,129
602,2020-08-25,130,129
603,2020-08-26,131,130
604,2020-08-27,131,130
605,2020-08-28,134,133
606,2020-08-29,134,133
607,2020-08-30,137,137
608,2020-08-31,138,139
609,2020-09-01,136,138
610,2020-09-02,136,136
611,2020-09-03,133,134
612,2020-09-04,133,134
613,2020-09-05,133,134
614,2020-09-06,132,133
615,2020-09-07,132,134
616,2020-09-08,134,134
617,2020-09-09,134,136
618,2020-09-10,136,138
619,2020-09-11,136,139
620,2020-09-12,137,138
621,2020-09-13,137,138
622,2020-09-14,137,138
623,2020-09-15,138,140
624,2020-09-16,139,140
625,2020-09-17,137,138
626,2020-09-18,136,138
627,2020-09-19,136,138
628,2020-09-20,136,138
629,2020-09-21,140,139
630,2020-09-22,143,143
631,2020-09-23,143,144
632,2020-09-24,145,145
633,2020-09-25,149,148
634,2020-09-26,152,152
635,2020-09-27,155,154
636,2020-09-28,155,155
637,2020-09-29,154,154
638,2020-09-30,156,154
639,2020-10-01,157,156
640,2020-10-02,158,156
641,2020-10-03,155,154
642,2020-10-04,154,154
643,2020-10-05,152,153
644,2020-10-06,154,154
645,2020-10-07,155,156
646,2020-10-08,156,155
647,2020-10-09,155,155
648,2020-10-10,156,155
649,2020-10-11,157,156
650,2020-10-12,159,157
651,2020-10-13,157,156
652,2020-10-14,157,156
653,2020-10-15,157,157
654,2020-10-16,158,158
655,2020-10-17,158,158
656,2020-10-18,159,158
657,2020-10-19,159,159
658,2020-10-20,160,160
659,2020-10-21,160,160
660,2020-10-22,161,160
661,2020-10-23,163,160
662,2020-10-24,163,160
663,2020-10-25,160,158
664,2020-10-26,158,156
665,2020-10-27,157,156
666,2020-10-28,156,155
667,2020-10-29,157,155
668,2020-10-30,156,154
669,2020-10-31,156,155
670,2020-11-01,159,157
671,2020-11-02,164,161
672,2020-11-03,166,164
673,2020-11-04,167,165
674,2020-11-05,168,166
675,2020-11-06,172,170
676,2020-11-07,174,173
677,2020-11-08,175,174
678,2020-11-09,175,174
679,2020-11-10,175,174
680,2020-11-11,175,174
681,2020-11-12,176,174
682,2020-11-13,176,174
683,2020-11-14,176,174
684,2020-11-15,176,173
685,2020-11-16,176,175
686,2020-11-17,177,176
687,2020-11-18,176,175
688,2020-11-19,176,176
689,2020-11-20,176,177
690,2020-11-21,175,176
691,2020-11-22,174,177
692,2020-11-23,174,175
693,2020-11-24,176,175
694,2020-11-25,177,176
695,2020-11-26,177,176
696,2020-11-27,176,175
697,2020-11-28,178,177
698,2020-11-29,178,178
699,2020-11-30,179,178
700,2020-12-01,178,179
701,2020-12-02,181,182
702,2020-12-03,182,183
703,2020-12-04,185,185
704,2020-12-05,186,185
705,2020-12-06,188,187
706,2020-12-07,191,190
707,2020-12-08,193,191
708,2020-12-09,194,192
709,2020-12-10,196,193
710,2020-12-11,195,192
711,2020-12-12,195,193
712,2020-12-13,195,193
713,2020-12-14,193,193
714,2020-12-15,193,193
715,2020-12-16,194,193
716,2020-12-17,195,193
717,2020-12-18,197,195
718,2020-12-19,196,195
719,2020-12-20,198,195
720,2020-12-21,194,190
721,2020-12-22,188,184
722,2020-12-23,181,179
723,2020-12-24,175,174
724,2020-12-25,171,168
725,2020-12-26,166,164
726,2020-12-27,161,159
727,2020-12-28,161,161
728,2020-12-29,165,165
729,2020-12-30,171,171
730,2020-12-31,176,177
731,2021-01-01,181,181
732,2021-01-02,184,185
733,2021-01-03,188,190
734,2021-01-04,192,193
735,2021-01-05,196,197
736,2021-01-06,197,197
737,2021-01-07,197,198
738,2021-01-08,199,201
739,2021-01-09,203,205
740,2021-01-10,206,207
741,2021-01-11,210,209
742,2021-01-12,209,209
743,2021-01-13,209,210
744,2021-01-14,210,209
745,2021-01-15,208,208
746,2021-01-16,203,201
747,2021-01-17,202,199
748,2021-01-18,199,198
749,2021-01-19,199,197
750,2021-01-20,200,197
751,2021-01-21,199,196
752,2021-01-22,199,195
753,2021-01-23,192,190
754,2021-01-24,193,191
755,2021-01-25,193,192
756,2021-01-26,194,191
757,2021-01-27,195,191
758,2021-01-28,190,191
759,2021-01-29,186,189
760,2021-01-30,198,200
761,2021-01-31,196,201
762,2021-02-01,193,200
763,2021-02-02,187,198
764,2021-02-03,179,194
765,2021-02-04,183,194
766,2021-02-05,186,195
767,2021-02-06,185,193
768,2021-02-07,184,191
769,2021-02-08,186,191
770,2021-02-09,190,192
771,2021-02-10,194,193
772,2021-02-11,195,195
773,2021-02-12,196,195
774,2021-02-13,196,195
775,2021-02-14,196,195
776,2021-02-15,197,194
777,2021-02-16,196,194
778,2021-02-17,197,196
779,2021-02-18,195,193
780,2021-02-19,194,192
781,2021-02-20,193,193
782,2021-02-21,193,192
783,2021-02-22,191,190
784,2021-02-23,191,189
785,2021-02-24,190,189
786,2021-02-25,190,189
787,2021-02-26,188,187
788,2021-02-27,186,186
789,2021-02-28,184,181
790,2021-03-01,184,183
791,2021-03-02,184,182
792,2021-03-03,183,181
793,2021-03-04,183,181
794,2021-03-05,184,182
795,2021-03-06,185,182
796,2021-03-07,184,182
797,2021-03-08,184,181
798,2021-03-09,184,183
799,2021-03-10,185,182
800,2021-03-11,186,183
801,2021-03-12,185,181
802,2021-03-13,185,182
803,2021-03-14,186,184
804,2021-03-15,183,182
805,2021-03-16,185,181
806,2021-03-17,185,182
807,2021-03-18,184,183
808,2021-03-19,186,184
809,2021-03-20,188,185
810,2021-03-21,189,187
811,2021-03-22,191,189
812,2021-03-23,188,188
813,2021-03-24,186,187
814,2021-03-25,182,184
815,2021-03-26,182,185
816,2021-03-27,180,184
817,2021-03-28,183,185
818,2021-03-29,182,185
819,2021-03-30,184,187
820,2021-03-31,184,187
821,2021-04-01,183,186
822,2021-04-02,184,188
823,2021-04-03,186,190
824,2021-04-04,188,192
825,2021-04-05,192,195
826,2021-04-06,197,198
827,2021-04-07,199,200
828,2021-04-08,207,208
829,2021-04-09,208,209
830,2021-04-10,208,210
831,2021-04-11,207,208
832,2021-04-12,205,208
833,2021-04-13,200,204
834,2021-04-14,200,203
835,2021-04-15,198,198
836,2021-04-16,194,194
837,2021-04-17,191,191
838,2021-04-18,191,189
839,2021-04-19,188,186
840,2021-04-20,188,185
841,2021-04-21,185,184
842,2021-04-22,184,185
843,2021-04-23,187,186
844,2021-04-24,185,185
845,2021-04-25,183,185
846,2021-04-26,184,186
847,2021-04-27,183,187
848,2021-04-28,182,188
849,2021-04-29,181,188
850,2021-04-30,178,189
851,2021-05-01,176,190
852,2021-05-02,174,193
853,2021-05-03,172,194
854,2021-05-04,171,195
855,2021-05-05,171,197
856,2021-05-06,173,200
857,2021-05-07,175,201
858,2021-05-08,176,201
859,2021-05-09,178,202
860,2021-05-10,178,202
861,2021-05-11,179,203
862,2021-05-12,179,202
863,2021-05-13,173,196
864,2021-05-14,172,194
865,2021-05-15,173,193
866,2021-05-16,172,191
867,2021-05-17,175,193
868,2021-05-18,175,192
869,2021-05-19,176,192
870,2021-05-20,182,196
871,2021-05-21,184,197
872,2021-05-22,187,199
873,2021-05-23,191,201
874,2021-05-24,191,199
875,2021-05-25,198,202
876,2021-05-26,203,204
877,2021-05-27,207,208
878,2021-05-28,211,210
879,2021-05-29,212,211
880,2021-05-30,213,211
881,2021-05-31,215,212
882,2021-06-01,215,214
883,2021-06-02,216,214
884,2021-06-03,215,214
885,2021-06-04,214,215
886,2021-06-05,214,216
887,2021-06-06,215,218
888,2021-06-07,216,219
889,2021-06-08,214,216
890,2021-06-09,216,218
891,2021-06-10,218,217
892,2021-06-11,220,219
893,2021-06-12,220,219
894,2021-06-13,220,216
895,2021-06-14,220,217
896,2021-06-15,220,217
897,2021-06-16,220,219
898,2021-06-17,220,219
899,2021-06-18,220,219
900,2021-06-19,222,220
901,2021-06-20,222,222
902,2021-06-21,223,223
903,2021-06-22,226,225
904,2021-06-23,226,223
905,2021-06-24,227,224
906,2021-06-25,228,225
907,2021-06-26,227,226
908,2021-06-27,229,226
909,2021-06-28,231,228
910,2021-06-29,231,228
911,2021-06-30,232,231
912,2021-07-01,233,232
913,2021-07-02,233,233
914,2021-07-03,236,235
915,2021-07-04,239,237
916,2021-07-05,236,237
917,2021-07-06,234,236
918,2021-07-07,232,234
919,2021-07-08,232,232
920,2021-07-09,231,231
921,2021-07-10,230,230
922,2021-07-11,227,228
923,2021-07-12,227,226
924,2021-07-13,229,227
925,2021-07-14,230,228
926,2021-07-15,232,231
927,2021-07-16,235,234
928,2021-07-17,232,234
929,2021-07-18,229,234
930,2021-07-19,227,234
931,2021-07-20,217,227
932,2021-07-21,211,225
933,2021-07-22,207,220
934,2021-07-23,203,217
935,2021-07-24,203,214
936,2021-07-25,205,214
937,2021-07-26,208,214
938,2021-07-27,216,220
939,2021-07-28,220,220
940,2021-07-29,221,222
941,2021-07-30,222,221
942,2021-07-31,224,222
943,2021-08-01,223,221
944,2021-08-02,222,220
945,2021-08-03,222,220
946,2021-08-04,221,219
947,2021-08-05,220,218
948,2021-08-06,218,216
949,2021-08-07,219,217
950,2021-08-08,219,217
951,2021-08-09,220,218
952,2021-08-10,221,219
953,2021-08-11,221,221
954,2021-08-12,222,222
955,2021-08-13,224,223
956,2021-08-14,224,224
957,2021-08-15,225,225
958,2021-08-16,226,227
959,2021-08-17,228,226
960,2021-08-18,228,226
961,2021-08-19,229,227
962,2021-08-20,229,227
963,2021-08-21,229,227
964,2021-08-22,227,226
965,2021-08-23,227,227
966,2021-08-24,227,228
967,2021-08-25,230,229
968,2021-08-26,230,229
969,2021-08-27,231,232
970,2021-08-28,233,232
971,2021-08-29,234,234
972,2021-08-30,234,233
973,2021-08-31,234,233
974,2021-09-01,232,232
975,2021-09-02,230,231
976,2021-09-03,227,228
977,2021-09-04,224,226
978,2021-09-05,225,227
979,2021-09-06,224,225
980,2021-09-07,222,223
981,2021-09-08,221,222
982,2021-09-09,221,221
983,2021-09-10,220,219
984,2021-09-11,221,219
985,2021-09-12,219,214
986,2021-09-13,219,215
987,2021-09-14,219,215
988,2021-09-15,221,218
989,2021-09-16,224,219
990,2021-09-17,226,222
991,2021-09-18,229,224
992,2021-09-19,230,227
993,2021-09-20,232,228
994,2021-09-21,235,231
995,2021-09-22,238,233
996,2021-09-23,238,236
997,2021-09-24,238,237
998,2021-09-25,242,239
999,2021-09-26,245,242
1000,2021-09-27,246,243
1001,2021-09-28,245,243
1002,2021-09-29,243,241
1003,2021-09-30,243,240
1004,2021-10-01,243,241
1005,2021-10-02,241,241
1006,2021-10-03,242,241
1007,2021-10-04,242,242
1008,2021-10-05,241,240
1009,2021-10-06,243,242
1010,2021-10-07,245,244
1011,2021-10-08,245,244
1012,2021-10-09,244,242
1013,2021-10-10,245,243
1014,2021-10-11,246,243
1015,2021-10-12,248,245
1016,2021-10-13,248,246
1017,2021-10-14,248,248
1018,2021-10-15,249,249
1019,2021-10-16,250,249
1020,2021-10-17,250,250
1021,2021-10-18,249,250
1022,2021-10-19,249,249
1023,2021-10-20,249,248
1024,2021-10-21,246,245
1025,2021-10-22,243,244
